0.00.045.535 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.046.455 W srv  llama_server: -----------------
0.00.046.459 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.046.459 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.046.460 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.046.460 W srv  llama_server: -----------------
0.00.047.816 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
0.00.047.979 W common_fit_params: failed to fit params to free device memory: llama_params_fit is not implemented for SPLIT_MODE_TENSOR, abort
0.04.005.161 I cmn          init: llama threadpool init, n_threads = 8
0.04.204.196 I common_speculative_init_result: loading draft model '/root/mtp-Qwen3.8-27B-Q4_0.gguf'
0.15.196.296 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.15.196.471 W set_sampler: backend sampling not supported with SPLIT_MODE_TENSOR; using CPU
0.15.196.476 W spec common_specu: backend offload failed for seq_id=0; using CPU sampler
0.15.196.479 W spec common_specu: backend offload failed for seq_id=1; using CPU sampler
0.15.196.480 W spec common_specu: backend offload failed for seq_id=2; using CPU sampler
0.15.196.481 W spec common_specu: backend offload failed for seq_id=3; using CPU sampler
0.15.220.083 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.15.220.127 I srv  llama_server: model loaded
0.15.220.133 I srv  llama_server: listening on http://127.0.0.1:8300
0.20.055.024 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.44.007.528 I slot print_timing: id  3 | task 0 | n_gen =    362, tg =  29.19 t/s, tg_3s =  27.89 t/s
1.45.225.354 I slot print_timing: id  3 | task 0 | prompt eval time =   71584.57 ms / 14187 tokens (    5.05 ms per token,   198.19 tokens per second)
1.45.225.362 I slot print_timing: id  3 | task 0 |        eval time =   13585.35 ms /   400 tokens (   34.05 ms per token,    29.37 tokens per second)
1.45.225.363 I slot print_timing: id  3 | task 0 |       total time =   85169.92 ms / 14587 tokens
1.45.225.368 I slot print_timing: id  3 | task 0 |    graphs reused =        123
1.45.225.373 I slot print_timing: id  3 | task 0 | draft acceptance = 0.73262 (  274 accepted /   374 generated), mean len =  3.19
1.45.226.245 I slot      release: id  3 | task 0 | stop processing: n_tokens = 14586, truncated = 0
1.45.396.960 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
1.45.397.072 I slot launch_slot_: id  3 | task 136 | processing task, is_child = 0
1.55.912.200 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   2090, progress = 0.15, t =   9.64 s / 216.89 tokens per second
2.05.778.472 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   4138, progress = 0.29, t =  19.50 s / 212.21 tokens per second
2.15.803.835 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   6186, progress = 0.44, t =  29.51 s / 209.64 tokens per second
2.25.993.634 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =   8234, progress = 0.58, t =  39.68 s / 207.53 tokens per second
2.36.331.294 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  10282, progress = 0.72, t =  50.00 s / 205.65 tokens per second
2.46.824.070 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  12330, progress = 0.87, t =  60.47 s / 203.91 tokens per second
2.53.674.518 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  13671, progress = 0.96, t =  67.69 s / 201.95 tokens per second
2.56.505.290 I slot print_timing: id  3 | task 136 | prompt processing, n_tokens =  14183, progress = 1.00, t =  70.35 s / 201.60 tokens per second
3.00.084.974 I slot print_timing: id  3 | task 136 | n_gen =    102, tg =  30.84 t/s, tg_3s =  31.14 t/s
3.03.140.149 I slot print_timing: id  3 | task 136 | n_gen =    192, tg =  30.17 t/s, tg_3s =  29.46 t/s
3.06.151.871 I slot print_timing: id  3 | task 136 | n_gen =    274, tg =  29.22 t/s, tg_3s =  27.23 t/s
3.09.156.625 I slot print_timing: id  3 | task 136 | n_gen =    360, tg =  29.08 t/s, tg_3s =  28.62 t/s
3.10.368.217 I slot print_timing: id  3 | task 136 | prompt eval time =   71412.25 ms / 14187 tokens (    5.03 ms per token,   198.66 tokens per second)
3.10.368.224 I slot print_timing: id  3 | task 136 |        eval time =   13558.59 ms /   400 tokens (   33.98 ms per token,    29.43 tokens per second)
3.10.368.226 I slot print_timing: id  3 | task 136 |       total time =   84970.84 ms / 14587 tokens
3.10.368.227 I slot print_timing: id  3 | task 136 |    graphs reused =        245
3.10.368.232 I slot print_timing: id  3 | task 136 | draft acceptance = 0.73262 (  274 accepted /   374 generated), mean len =  3.19
3.10.369.089 I slot      release: id  3 | task 136 | stop processing: n_tokens = 14586, truncated = 0
3.10.524.536 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
3.10.524.631 I slot launch_slot_: id  3 | task 272 | processing task, is_child = 0
3.21.046.229 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =   2090, progress = 0.15, t =   9.64 s / 216.85 tokens per second
3.30.924.276 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =   4138, progress = 0.29, t =  19.51 s / 212.08 tokens per second
3.40.940.810 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =   6186, progress = 0.44, t =  29.52 s / 209.56 tokens per second
3.51.122.352 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =   8234, progress = 0.58, t =  39.68 s / 207.51 tokens per second
4.01.458.571 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =  10282, progress = 0.72, t =  49.99 s / 205.66 tokens per second
4.11.954.231 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =  12330, progress = 0.87, t =  60.47 s / 203.89 tokens per second
4.18.807.527 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =  13671, progress = 0.96, t =  67.70 s / 201.93 tokens per second
4.21.638.514 I slot print_timing: id  3 | task 272 | prompt processing, n_tokens =  14183, progress = 1.00, t =  70.36 s / 201.58 tokens per second
4.25.221.221 I slot print_timing: id  3 | task 272 | n_gen =    102, tg =  30.81 t/s, tg_3s =  31.11 t/s
4.28.278.883 I slot print_timing: id  3 | task 272 | n_gen =    192, tg =  30.14 t/s, tg_3s =  29.43 t/s
4.31.291.085 I slot print_timing: id  3 | task 272 | n_gen =    274, tg =  29.20 t/s, tg_3s =  27.22 t/s
4.34.311.721 I slot print_timing: id  3 | task 272 | n_gen =    360, tg =  29.02 t/s, tg_3s =  28.47 t/s
4.35.530.337 I slot print_timing: id  3 | task 272 | prompt eval time =   71417.66 ms / 14187 tokens (    5.03 ms per token,   198.65 tokens per second)
4.35.530.344 I slot print_timing: id  3 | task 272 |        eval time =   13587.70 ms /   400 tokens (   34.05 ms per token,    29.36 tokens per second)
4.35.530.346 I slot print_timing: id  3 | task 272 |       total time =   85005.36 ms / 14587 tokens
4.35.530.347 I slot print_timing: id  3 | task 272 |    graphs reused =        367
4.35.530.352 I slot print_timing: id  3 | task 272 | draft acceptance = 0.73262 (  274 accepted /   374 generated), mean len =  3.19
4.35.531.211 I slot      release: id  3 | task 272 | stop processing: n_tokens = 14586, truncated = 0
4.35.569.006 I srv    operator(): operator(): cleaning up before exit...
