0.00.034.643 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.346.305 W srv  llama_server: -----------------
0.00.346.309 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.346.309 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.346.309 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.346.310 W srv  llama_server: -----------------
0.00.347.781 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
VMEAN tap: no live V layers — add disabled
VMEAN tap: no live V layers — add disabled
0.02.851.135 W srv    load_model: [spec] failed to measure draft model memory: MTP and target memory devices differ
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
TCQ decode: context-adaptive V alpha enabled
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.08.406.490 I srv    load_model: tensor-split target: draft model falls back to layer split (use --spec-draft-device to pin it to one GPU)
0.09.287.317 I srv    load_model: computation-frontier ratchet: legacy reads authoritative, flip after 1024 qualifying agreements
0.09.287.325 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.09.288.095 I slot   load_model: id  0 | task -1 | speculative decoding context initialized
3.06.406.087 W slot   operator(): id  0 | task 160 | created context checkpoint 3 of 32 (pos_min = 14182, pos_max = 14182, n_tokens = 14183, size = 149.626 MiB)
3.10.810.887 I slot print_timing: id  0 | task 160 | n_decoded =    100, tg =  23.47 t/s, tg_3s =  23.47 t/s
3.13.811.098 I slot print_timing: id  0 | task 160 | n_decoded =    169, tg =  23.27 t/s, tg_3s =  23.00 t/s
3.16.880.489 I slot print_timing: id  0 | task 160 | n_decoded =    246, tg =  23.81 t/s, tg_3s =  25.09 t/s
3.19.948.273 I slot print_timing: id  0 | task 160 | n_decoded =    315, tg =  23.51 t/s, tg_3s =  22.49 t/s
3.23.013.458 I slot print_timing: id  0 | task 160 | n_decoded =    391, tg =  23.75 t/s, tg_3s =  24.79 t/s
3.23.330.519 I slot print_timing: id  0 | task 160 | prompt eval time =   79668.63 ms / 14187 tokens (    5.62 ms per token,   178.08 tokens per second)
3.23.330.526 I slot print_timing: id  0 | task 160 |        eval time =   16780.81 ms /   400 tokens (   41.95 ms per token,    23.84 tokens per second)
3.23.330.527 I slot print_timing: id  0 | task 160 |       total time =   96449.44 ms / 14587 tokens
3.23.330.529 I slot print_timing: id  0 | task 160 |    graphs reused =        301
3.23.330.534 I slot print_timing: id  0 | task 160 | draft acceptance = 0.76266 (  241 accepted /   316 generated), mean len =  2.53
3.23.330.538 I slot print_timing: id  0 | task 160 | verify/rollback histogram (draft/rejected:cycles) = (2/0:105, 2/1:31, 2/2:22)
3.23.331.347 I slot      release: id  0 | task 160 | stop processing: n_tokens = 14586, truncated = 0
3.23.486.817 I slot cache_plan_s: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.973
3.23.486.927 I slot launch_slot_: id  0 | task 329 | processing task, is_child = 0
3.23.486.951 I slot   operator(): id  0 | task 329 | edit/divergence sample (cached/incoming/lcp/reusable/rewind/append/cache_prompt) = (14586/14187/14187/0/399/0/0)
3.24.312.896 W slot   operator(): id  0 | task 329 | created context checkpoint 1 of 32 (pos_min = 41, pos_max = 41, n_tokens = 42, size = 149.626 MiB)
3.34.914.962 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =   2090, progress = 0.15, t =  11.43 s / 182.88 tokens per second
3.45.833.284 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =   4138, progress = 0.29, t =  22.35 s / 185.18 tokens per second
3.56.961.966 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =   6186, progress = 0.44, t =  33.48 s / 184.79 tokens per second
4.08.308.536 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =   8234, progress = 0.58, t =  44.82 s / 183.71 tokens per second
4.19.859.630 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =  10282, progress = 0.72, t =  56.37 s / 182.39 tokens per second
4.31.610.849 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =  12330, progress = 0.87, t =  68.12 s / 180.99 tokens per second
4.39.716.566 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =  13671, progress = 0.96, t =  76.23 s / 179.34 tokens per second
4.39.846.727 W slot   operator(): id  0 | task 329 | created context checkpoint 2 of 32 (pos_min = 13670, pos_max = 13670, n_tokens = 13671, size = 149.626 MiB)
4.42.865.445 I slot print_timing: id  0 | task 329 | prompt processing, n_tokens =  14183, progress = 1.00, t =  79.38 s / 178.68 tokens per second
4.42.995.935 W slot   operator(): id  0 | task 329 | created context checkpoint 3 of 32 (pos_min = 14182, pos_max = 14182, n_tokens = 14183, size = 149.626 MiB)
4.47.403.751 I slot print_timing: id  0 | task 329 | n_decoded =    100, tg =  23.45 t/s, tg_3s =  23.45 t/s
4.50.501.806 I slot print_timing: id  0 | task 329 | n_decoded =    172, tg =  23.36 t/s, tg_3s =  23.24 t/s
4.53.567.736 I slot print_timing: id  0 | task 329 | n_decoded =    250, tg =  23.97 t/s, tg_3s =  25.44 t/s
4.56.625.513 I slot print_timing: id  0 | task 329 | n_decoded =    319, tg =  23.66 t/s, tg_3s =  22.57 t/s
4.59.589.350 I slot print_timing: id  0 | task 329 | prompt eval time =   79652.98 ms / 14187 tokens (    5.61 ms per token,   178.11 tokens per second)
4.59.589.358 I slot print_timing: id  0 | task 329 |        eval time =   16449.42 ms /   400 tokens (   41.12 ms per token,    24.32 tokens per second)
4.59.589.359 I slot print_timing: id  0 | task 329 |       total time =   96102.40 ms / 14587 tokens
4.59.589.360 I slot print_timing: id  0 | task 329 |    graphs reused =        453
4.59.589.366 I slot print_timing: id  0 | task 329 | draft acceptance = 0.79221 (  244 accepted /   308 generated), mean len =  2.58
4.59.589.369 I slot print_timing: id  0 | task 329 | verify/rollback histogram (draft/rejected:cycles) = (2/0:109, 2/1:26, 2/2:19)
4.59.590.171 I slot      release: id  0 | task 329 | stop processing: n_tokens = 14586, truncated = 0
4.59.626.984 I srv    operator(): operator(): cleaning up before exit...
