0.00.034.538 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.338.817 W srv  llama_server: -----------------
0.00.338.824 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.338.824 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.338.824 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.338.825 W srv  llama_server: -----------------
0.00.340.279 I srv    load_model: loading model '/root/Qwen3.8-27B-UD-Q4_K_M.gguf'
VMEAN tap: no live V layers — add disabled
VMEAN tap: no live V layers — add disabled
0.05.377.520 I srv    load_model: [spec] estimated memory usage of draft model is 31384.43 MiB
0.06.988.706 W common_fit_params: failed to fit params to free device memory: model does not fit at the minimum context size and layer redistribution is not available under SPLIT_MODE_TENSOR, abort
0.06.988.719 E cmn  common_init_: fit could not prove a viable placement; restoring the pre-fit parameters
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
TCQ decode: context-adaptive V alpha enabled
TCQ1 decode: K/V codebooks (K=baked-in V=baked-in) hotswap=0
0.10.955.918 I srv    load_model: tensor-split target: draft model falls back to layer split (use --spec-draft-device to pin it to one GPU)
0.11.920.845 I srv    load_model: computation-frontier ratchet: legacy reads authoritative, flip after 1024 qualifying agreements
0.11.920.851 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
0.11.921.654 I slot   load_model: id  0 | task -1 | speculative decoding context initialized
3.39.533.514 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =   2090, progress = 0.15, t =  11.42 s / 182.94 tokens per second
3.50.464.715 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =   4138, progress = 0.29, t =  22.36 s / 185.10 tokens per second
4.01.617.542 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =   6186, progress = 0.44, t =  33.51 s / 184.61 tokens per second
4.12.969.710 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =   8234, progress = 0.58, t =  44.86 s / 183.55 tokens per second
4.24.498.049 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =  10282, progress = 0.72, t =  56.39 s / 182.34 tokens per second
4.36.239.867 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =  12330, progress = 0.87, t =  68.13 s / 180.98 tokens per second
4.44.330.738 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =  13671, progress = 0.96, t =  76.22 s / 179.36 tokens per second
4.44.460.806 W slot   operator(): id  0 | task 317 | created context checkpoint 2 of 32 (pos_min = 13670, pos_max = 13670, n_tokens = 13671, size = 149.626 MiB)
4.47.482.460 I slot print_timing: id  0 | task 317 | prompt processing, n_tokens =  14183, progress = 1.00, t =  79.37 s / 178.69 tokens per second
4.47.613.090 W slot   operator(): id  0 | task 317 | created context checkpoint 3 of 32 (pos_min = 14182, pos_max = 14182, n_tokens = 14183, size = 149.626 MiB)
4.51.244.191 I slot print_timing: id  0 | task 317 | n_decoded =    102, tg =  29.14 t/s, tg_3s =  29.14 t/s
4.54.267.809 I slot print_timing: id  0 | task 317 | n_decoded =    189, tg =  28.97 t/s, tg_3s =  28.77 t/s
4.57.342.110 I slot print_timing: id  0 | task 317 | n_decoded =    276, tg =  28.75 t/s, tg_3s =  28.30 t/s
5.00.411.367 I slot print_timing: id  0 | task 317 | n_decoded =    355, tg =  28.02 t/s, tg_3s =  25.74 t/s
5.01.823.593 W slot   operator(): id  0 | task 317 | draft size 2 exceeds max 1, truncating
5.01.929.355 I slot print_timing: id  0 | task 317 | prompt eval time =   79634.32 ms / 14187 tokens (    5.61 ms per token,   178.15 tokens per second)
5.01.929.363 I slot print_timing: id  0 | task 317 |        eval time =   14185.86 ms /   400 tokens (   35.46 ms per token,    28.20 tokens per second)
5.01.929.364 I slot print_timing: id  0 | task 317 |       total time =   93820.18 ms / 14587 tokens
5.01.929.365 I slot print_timing: id  0 | task 317 |    graphs reused =        436
5.01.929.371 I slot print_timing: id  0 | task 317 | draft acceptance = 0.82392 (  248 accepted /   301 generated), mean len =  2.64
5.01.929.375 I slot print_timing: id  0 | task 317 | verify/rollback histogram (draft/rejected:cycles) = (1/0:1, 2/0:112, 2/1:23, 2/2:15)
5.01.930.168 I slot      release: id  0 | task 317 | stop processing: n_tokens = 14586, truncated = 0
5.01.967.117 I srv    operator(): operator(): cleaning up before exit...
